"","X","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","lx","reactionDist","growth","mu","mu.g"
"116",118,118,"DW","8/2/13","10:30","Day","Hypo",22,1466.66666666667,0.444,0.00220945950844282,0.00184532796877429,0.00307594594594595,0.0106429796979717,4.5,0.81,8,0.45,2.144472789,24.3,4.01055588035551,-0.134231775605019,0.02030046,1.16711190000933
"117",119,119,"WL","5/22/13","11:00","Day","PML",0,0,0.604,0,0,0.00495658112582782,0.00502198176345574,0.5,11.21,17,53,0.403333333,2862,4.17910038187335,0.00518178792053305,0,0.994831614383202
"118",120,120,"WL","5/22/13","11:00","Day","Hypo",45,3000,NA,NA,NA,NA,NA,4,9.32,5.8,1.17,0.403333333,63.18,4.0737532302672,NA,0.0005001,NA
"119",121,121,"RB","5/22/13","23:00","Night","PML",9,600,0.7685,0.00128713885109455,0,0.00474903345724907,0.0025069814709453,0.75,10.98,15.8,0,0.769349299,0,0,0.000220478406328889,0.00018762,0.999967142133502
"120",122,122,"RB","5/22/13","23:00","Night","Hypo",30,2000,1.34833333333333,0.00121325892105042,0.00326808394448642,0.00431041409147095,0.00535298208812803,4.5,7.8,6,0,0.769349299,0,0,-0.00526607051758514,0.0003699,1.00565188247849
"121",123,123,"RB","5/22/12","23:00","Night","PML",0,0,0.7685,0.00128713885109455,0,0.00474903345724907,0.0025069814709453,0.75,10.98,15.8,0,0.769349299,0,0,0.000220478406328889,0,0.999779545897249
"122",124,124,"RB","5/22/12","23:00","Night","Hypo",16,1066.66666666667,1.34833333333333,0.00121325892105042,0.00326808394448642,0.00431041409147095,0.00535298208812803,4.5,7.8,6,0,0.769349299,0,0,-0.00526607051758514,0.00024838,1.00552968308672
"123",125,125,"RB","5/23/13","11:00","Day","PML",2,133.333333333333,0.7685,0.00128713885109455,0,0.00474903345724907,0.0025069814709453,0.75,9.26,14.4,70.2428571428571,0.769349299,3793.11428571428,4.18312028379379,0.0002158966367553,0.02012686,1.02011050877434
"124",126,126,"RB","5/23/13","11:00","Day","Hypo",0,0,1.34833333333333,0.00121325892105042,0.00326808394448642,0.00431041409147095,0.00535298208812803,4.5,6.03,6,0.493333333333333,0.769349299,26.64,4.01813152781354,-0.00526607051758514,0.02,1.02558796294529
"125",127,127,"HB","5/23/13","23:30","Night","PML",74,4933.33333333333,2.01888888888889,0,0.000441748409331279,0.00690649697303247,0.00105819948887614,0.5,7.17,14.4,0,1.57274487,0,0,0.0803603452054191,0.02075182,0.942133282834887
"126",128,128,"HB","5/23/13","23:30","Night","Hypo",84,5600,1.8525,0,0,0.00357412955465587,0.000658204972621992,3,1.77,5,0,1.57274487,0,0,-0.0327120247801089,0.02083862,1.05501042118541
"127",129,129,"HB","5/24/13","11:30","Day","PML",0,0,2.01888888888889,0,0.000441748409331279,0.00690649697303247,0.00105819948887614,0.5,6.97,15.3,11.45,1.57274487,618.3,4.15127278913042,0.0814525657664297,0.02,0.940397551718612
"128",130,130,"HB","5/24/13","11:30","Day","Hypo",7,466.666666666667,1.8525,0,0,0.00357412955465587,0.000658204972621992,3,1.61,4.8,0,1.57274487,0,0,-0.0326140357627863,0.02017026,1.05420222470572
"129",131,131,"TU","5/27/13","11:00","Day","PML",44,2933.33333333333,0.897777777777778,0.00179064007831311,0.00178077749057683,0.00755183168316832,0.00410122268008956,0.5,9.06,17,164.288,0.403333333,8871.552,4.19377469312577,0.0692055266439528,0.15049142,1.08468095532134
"130",132,132,"TU","5/27/13","11:00","Day","Hypo",38,2533.33333333333,1.03357142857143,0,0,0.00925033724948169,0.000932473604356677,7.5,0.07,4.1,0,0.403333333,0,0,0,0.15043934,1.16234479512932
